"Samples"	"SAMEA ID"	"Leg"	"Station"	"Station ID"	"Depth ID"	"lat_cast"	"lon_cast"	"datetime"	"Depth [m]"	"Temperature [ÂºC]"	"Salinity [PSU]"	"Density [kg/m3]"	"Oxygen [ml/l]"	"Oxygen [%]"	"Fluorescence [mg/m3]"	"Orthophosphate [uM]"	"Silicic acid [uM]"	"Nitrite [uM]"	"Nitrates [uM]"	"Nitrate [uM]"	"N/P ratio"	"year"	"month"	"day"	"hour"	"minute"	"second"	"instrument"	"original file"	"Depth level"	"Oxygen level"	"Biogeographical units"	"Freshwater inputs"
"S01_Z00"	"SAMEA7920473"	"1"	"1"	"MMC-001"	"Z0"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"2"	"11.272"	"24.72"	"1018.754"	"6.665"	"101.623"	"13.091"	"1.206"	"7.38"	"0.03"	"12.382"	"12.353"	"10.267"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S01_Z01"	"SAMEA7920507"	"1"	"1"	"MMC-001"	"Z1"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"20"	"10.569"	"29.59"	"1022.73"	"5.856"	"90.689"	"4.438"	"0.389"	"1.483"	"0.097"	"2.133"	"2.037"	"5.484"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S01_Z05"	"SAMEA7920503"	"1"	"1"	"MMC-001"	"Z5"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"90"	"9.06"	"32.82"	"1025.818"	"4.836"	"73.974"	"1.328"	"1.246"	"3.997"	"0.024"	"13.68"	"13.656"	"10.979"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S02_Z00"	"SAMEA7920664"	"1"	"2"	"MMC-002"	"Z0"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"2"	"11.465"	"26.58"	"1020.165"	"6.43"	"99.611"	"11.013"	"0.597"	"3.29"	"0.082"	"6.825"	"6.743"	"11.432"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S02_Z01"	"SAMEA7920687"	"1"	"2"	"MMC-002"	"Z1"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"10"	"11.426"	"26.774"	"1020.357"	"6.413"	"99.384"	"9.846"	"0.287"	"1.268"	"0.065"	"0.3"	"0.235"	"1.047"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S02_Z03"	"SAMEA7920684"	"1"	"2"	"MMC-002"	"Z3"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"50"	"9.212"	"32.5"	"1025.357"	"5.182"	"79.374"	"1.501"	"1.475"	"7.048"	"0.017"	"17.448"	"17.43"	"11.831"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S02_Z05"	"SAMEA7920681"	"1"	"2"	"MMC-002"	"Z5"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"90"	"8.981"	"33.017"	"1025.985"	"5.107"	"78.092"	"1.34"	"1.09"	"5.223"	"0.051"	"12.063"	"12.012"	"11.067"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S03_Z00"	"SAMEA7920795"	"1"	"3"	"MMC-003"	"Z0"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"2"	"11.426"	"8.36"	"1006.066"	"5.553"	"76.611"	"13.293"	"0.562"	"3.09"	"0.063"	"6.178"	"6.115"	"10.987"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S03_Z01"	"SAMEA7920806"	"1"	"3"	"MMC-003"	"Z1"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"10"	"11.375"	"8.225"	"1006.006"	"5.439"	"74.883"	"12.997"	"1.022"	"4.339"	"0.045"	"10.797"	"10.752"	"10.562"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S03_Z03"	"SAMEA7920803"	"1"	"3"	"MMC-003"	"Z3"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"50"	"9.575"	"32.34"	"1025.176"	"5.3"	"81.739"	"1.427"	"0.878"	"4.277"	"0.053"	"9.2"	"9.147"	"10.479"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S03_Z05"	"SAMEA7920800"	"1"	"3"	"MMC-003"	"Z5"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"90"	"9.691"	"33.125"	"1025.954"	"5.448"	"84.672"	"1.389"	"1.339"	"5.576"	"0.029"	"15.982"	"15.953"	"11.934"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S04_Z00"	"SAMEA7920973"	"1"	"4"	"MMC-004"	"Z0"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"1"	"11.943"	"30.15"	"1022.846"	"6.185"	"99.016"	"12.412"	"0.791"	"2.07"	"0.328"	"6.84"	"6.513"	"8.645"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"SRF"	"OXIC"	"PFR"	"NO"
"S04_Z01"	"SAMEA7920984"	"1"	"4"	"MMC-004"	"Z1"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"10"	"11.113"	"31.222"	"1023.869"	"6.118"	"96.872"	"4.539"	"0.562"	"1.475"	"0.171"	"3.22"	"3.049"	"5.73"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S04_Z05"	"SAMEA7920987"	"1"	"4"	"MMC-004"	"Z5"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"90"	"10.545"	"33.308"	"1025.952"	"5.586"	"88.537"	"1.465"	"1.06"	"2.255"	"0.361"	"12.375"	"12.014"	"11.677"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z00"	"SAMEA7920941"	"1"	"5"	"MMC-005"	"Z0"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"3"	"12.171"	"32.66"	"1024.755"	"6.403"	"104.635"	"30.279"	"0.331"	"0.415"	"0.1"	"1.78"	"1.681"	"5.386"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"SRF"	"OXIC"	"PFR"	"NO"
"S05_Z01"	"SAMEA7920926"	"1"	"5"	"MMC-005"	"Z1"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"10"	"12.089"	"32.753"	"1024.877"	"6.334"	"103.396"	"23.184"	"0.798"	"1.517"	"0.191"	"8.73"	"8.54"	"10.947"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z05"	"SAMEA7920920"	"1"	"5"	"MMC-005"	"Z5"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"80"	"7.674"	"33.974"	"1026.887"	"5.393"	"80.57"	"1.334"	"1.486"	"4.76"	"0.07"	"20.153"	"20.083"	"13.567"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z07"	"SAMEA7920917"	"1"	"5"	"MMC-005"	"Z7"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"200"	"6.688"	"34.17"	"1027.735"	"4.454"	"65.149"	"1.237"	"1.614"	"6.4"	"0.043"	"23.23"	"23.188"	"14.397"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z08"	"SAMEA7920911"	"1"	"5"	"MMC-005"	"Z8"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"300"	"5.524"	"34.202"	"1028.842"	"5.672"	"80.755"	"1.159"	"1.605"	"6.11"	"0.044"	"22.53"	"22.487"	"14.042"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"MES"	"OXIC"	"PFR"	"NO"
"S05_Z09"	"SAMEA7920929"	"1"	"5"	"MMC-005"	"Z9"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"500"	"5.301"	"34.2"	"1029.331"	"5.764"	"81.634"	"1.176"	"1.554"	"6.06"	"0.034"	"22.63"	"22.597"	"14.567"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"MES"	"OXIC"	"PFR"	"NO"
"S05_Z10"	"SAMEA7920938"	"1"	"5"	"MMC-005"	"Z10"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"600"	"5.081"	"34.195"	"1029.822"	"5.716"	"80.53"	"1.135"	"1.611"	"6.04"	"0.066"	"22.75"	"22.685"	"14.126"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"MES"	"OXIC"	"PFR"	"NO"
"S06_Z00"	"SAMEA7921046"	"1"	"6"	"MMC-006"	"Z0"	"-48.13666667"	"-73.46833333"	"3/3/2021 10:09"	"2"	"10.607"	"1.77"	"1001.039"	"7.917"	"102.818"	"2.463"	"1.301"	"11.948"	"0.031"	"16.752"	"16.721"	"12.874"	"2021"	"3"	"3"	"10"	"9"	"22"	"sbe17plusV2"	"cast 034000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S06_Z05"	"SAMEA7921112"	"1"	"6"	"MMC-006"	"Z5"	"-48.13666667"	"-73.46833333"	"3/3/2021 10:09"	"90"	"8.532"	"33.816"	"1026.68"	"3.401"	"51.753"	"1.321"	"1.855"	"13.58"	"0.014"	"23.857"	"23.843"	"12.861"	"2021"	"3"	"3"	"10"	"9"	"22"	"sbe17plusV2"	"cast 034000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S07_Z00"	"SAMEA7921153"	"1"	"7"	"MMC-007"	"Z0"	"-47.985"	"-73.795"	"3/5/2021 13:53"	"2"	"13.489"	"6.8"	"1004.582"	"4.884"	"69.868"	"2.298"	"0.026"	"4.025"	"0.022"	"0.05"	"0.028"	"1.923"	"2021"	"3"	"5"	"13"	"53"	"15"	"sbe17plusV2"	"cast 041000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S07_Z01"	"SAMEA7921159"	"1"	"7"	"MMC-007"	"Z1"	"-47.985"	"-73.795"	"3/5/2021 13:53"	"10"	"13.166"	"10.983"	"1007.883"	"5.583"	"81.368"	"3.067"	"0.924"	"5.96"	"0.133"	"10.335"	"10.202"	"11.191"	"2021"	"3"	"5"	"13"	"53"	"15"	"sbe17plusV2"	"cast 041000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S07_Z03"	"SAMEA7921156"	"1"	"7"	"MMC-007"	"Z3"	"-47.985"	"-73.795"	"3/5/2021 13:53"	"50"	"9.523"	"33.418"	"1026.027"	"3.834"	"59.486"	"1.386"	"1.85"	"12.88"	"0.022"	"22.722"	"22.7"	"12.284"	"2021"	"3"	"5"	"13"	"53"	"15"	"sbe17plusV2"	"cast 041000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S07_Z05"	"SAMEA7921162"	"1"	"7"	"MMC-007"	"Z5"	"-47.985"	"-73.795"	"3/5/2021 13:53"	"90"	"8.664"	"33.81"	"1026.654"	"3.537"	"53.974"	"1.262"	"1.903"	"13.208"	"0.019"	"23.688"	"23.669"	"12.449"	"2021"	"3"	"5"	"13"	"53"	"15"	"sbe17plusV2"	"cast 041000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S08_Z00"	"SAMEA7921250"	"1"	"8"	"MMC-008"	"Z0"	"-47.7675"	"-74.60683333"	"3/6/2021 11:25"	"2"	"14.869"	"24.61"	"1018.018"	"6.009"	"98.76"	"5.157"	"1.974"	"12.525"	"0.035"	"24.5"	"24.466"	"12.41"	"2021"	"3"	"6"	"11"	"25"	"45"	"sbe17plusV2"	"cast 044000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S08_Z01"	"SAMEA7921267"	"1"	"8"	"MMC-008"	"Z1"	"-47.7675"	"-74.60683333"	"3/6/2021 11:25"	"10"	"14.956"	"27.818"	"1020.502"	"5.866"	"98.515"	"5.233"	"1.377"	"8.11"	"0.02"	"15.91"	"15.89"	"11.558"	"2021"	"3"	"6"	"11"	"25"	"45"	"sbe17plusV2"	"cast 044000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S08_Z03"	"SAMEA7921264"	"1"	"8"	"MMC-008"	"Z3"	"-47.7675"	"-74.60683333"	"3/6/2021 11:25"	"50"	"9.535"	"33.311"	"1025.942"	"4.145"	"64.28"	"1.436"	"1.725"	"9.27"	"0.024"	"20.875"	"20.851"	"12.099"	"2021"	"3"	"6"	"11"	"25"	"45"	"sbe17plusV2"	"cast 044000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S08_Z05"	"SAMEA7921261"	"1"	"8"	"MMC-008"	"Z5"	"-47.7675"	"-74.60683333"	"3/6/2021 11:25"	"90"	"8.612"	"33.815"	"1026.666"	"4.056"	"61.822"	"1.293"	"1.803"	"9.76"	"0.02"	"22.107"	"22.086"	"12.263"	"2021"	"3"	"6"	"11"	"25"	"45"	"sbe17plusV2"	"cast 044000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S09_Z00"	"SAMEA7921283"	"1"	"9"	"MMC-009"	"Z0"	"-41.89305"	"-73.15556667"	"3/14/2021 10:13"	"2"	"12.649"	"32.28"	"1024.365"	"4.81"	"79.204"	"9.798"	"1.668"	"13.857"	"0.234"	"15.913"	"15.68"	"9.542"	"2021"	"3"	"14"	"10"	"13"	"3"	"sbe17plusV2"	"cast 049000.cnv"	"SRF"	"OXIC"	"SUR"	"NO"
"S09_Z01"	"SAMEA7921270"	"1"	"9"	"MMC-009"	"Z1"	"-41.89305"	"-73.15556667"	"3/14/2021 10:13"	"10"	"12.407"	"32.453"	"1024.584"	"4.692"	"76.962"	"7.215"	"1.713"	"13.33"	"0.251"	"17.053"	"16.802"	"9.953"	"2021"	"3"	"14"	"10"	"13"	"3"	"sbe17plusV2"	"cast 049000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S09_Z03"	"SAMEA7921273"	"1"	"9"	"MMC-009"	"Z3"	"-41.89305"	"-73.15556667"	"3/14/2021 10:13"	"50"	"11.944"	"32.928"	"1025.221"	"4.505"	"73.398"	"5.767"	"1.696"	"11.905"	"0.254"	"17.635"	"17.381"	"10.397"	"2021"	"3"	"14"	"10"	"13"	"3"	"sbe17plusV2"	"cast 049000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S09_Z05"	"SAMEA7921276"	"1"	"9"	"MMC-009"	"Z5"	"-41.89305"	"-73.15556667"	"3/14/2021 10:13"	"90"	"11.854"	"32.973"	"1025.454"	"4.42"	"71.891"	"4.678"	"1.742"	"12.33"	"0.247"	"17.26"	"17.013"	"9.906"	"2021"	"3"	"14"	"10"	"13"	"3"	"sbe17plusV2"	"cast 049000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S10_Z00"	"SAMEA7921448"	"1"	"10"	"MMC-010"	"Z0"	"-41.74166667"	"-72.70783333"	"3/15/2021 10:02"	"3"	"15.441"	"27.93"	"1020.459"	"6.624"	"112.406"	"8.288"	"0.601"	"8"	"0.035"	"0.58"	"0.545"	"0.966"	"2021"	"3"	"15"	"10"	"2"	"31"	"sbe17plusV2"	"cast 054000.cnv"	"SRF"	"OXIC"	"SUR"	"YES"
"S10_Z01"	"SAMEA7925471"	"1"	"10"	"MMC-010"	"Z1"	"-41.74166667"	"-72.70783333"	"3/15/2021 10:02"	"10"	"13.37"	"31.74"	"1023.846"	"5.173"	"86.176"	"47.632"	"2.026"	"16.534"	"0.126"	"18.254"	"18.129"	"9.009"	"2021"	"3"	"15"	"10"	"2"	"31"	"sbe17plusV2"	"cast 054000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S10_Z05"	"SAMEA7925465"	"1"	"10"	"MMC-010"	"Z5"	"-41.74166667"	"-72.70783333"	"3/15/2021 10:02"	"90"	"11.127"	"32.716"	"1025.387"	"3.015"	"48.214"	"1.43"	"2.503"	"31.233"	"0.053"	"26.127"	"26.074"	"10.44"	"2021"	"3"	"15"	"10"	"2"	"31"	"sbe17plusV2"	"cast 054000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S11_Z00"	"SAMEA7925504"	"1"	"11"	"MMC-011"	"Z0"	"-41.55133333"	"-72.32583333"	"3/17/2021 10:48"	"2"	"17.011"	"13.88"	"1009.386"	"6.641"	"106.795"	"23.287"	"0.107"	"16.183"	"0.043"	"0.08"	"0.037"	"0.75"	"2021"	"3"	"17"	"10"	"48"	"25"	"sbe17plusV2"	"cast 059000.cnv"	"SRF"	"OXIC"	"SUR"	"YES"
"S11_Z01"	"SAMEA7925515"	"1"	"11"	"MMC-011"	"Z1"	"-41.55133333"	"-72.32583333"	"3/17/2021 10:48"	"10"	"14.172"	"30.947"	"1023.072"	"6.409"	"107.999"	"16.609"	"2.511"	"18.265"	"0.103"	"23.513"	"23.411"	"9.366"	"2021"	"3"	"17"	"10"	"48"	"25"	"sbe17plusV2"	"cast 059000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S11_Z03"	"SAMEA7925518"	"1"	"11"	"MMC-011"	"Z3"	"-41.55133333"	"-72.32583333"	"3/17/2021 10:48"	"50"	"11.392"	"32.577"	"1025.05"	"2.289"	"36.776"	"1.472"	"2.925"	"32.95"	"0.043"	"27.825"	"27.782"	"9.513"	"2021"	"3"	"17"	"10"	"48"	"25"	"sbe17plusV2"	"cast 059000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S11_Z05"	"SAMEA7925525"	"1"	"11"	"MMC-011"	"Z5"	"-41.55133333"	"-72.32583333"	"3/17/2021 10:48"	"90"	"11.262"	"32.726"	"1025.371"	"2.417"	"38.76"	"1.436"	"2.952"	"36.063"	"0.026"	"26.103"	"26.078"	"8.843"	"2021"	"3"	"17"	"10"	"48"	"25"	"sbe17plusV2"	"cast 059000.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S12_Z00"	"SAMEA7925599"	"2"	"12"	"MMC-012"	"Z0"	"-41.69833333"	"-74.12833333"	"3/22/2021 10:18"	"2"	"12.149"	"33.51"	"1025.417"	"5.986"	"98.292"	"21.835"	"0.89"	"1.176"	"0.337"	"8.319"	"7.982"	"9.345"	"2021"	"3"	"22"	"10"	"18"	"20"	"sbe17plusV2"	"Cast00.cnv"	"SRF"	"OXIC"	"SUR"	"NO"
"S12_Z03"	"SAMEA7925613"	"2"	"12"	"MMC-012"	"Z3"	"-41.69833333"	"-74.12833333"	"3/22/2021 10:18"	"50"	"9.893"	"33.86"	"1026.309"	"5.208"	"81.685"	"1.498"	"1.177"	"2.678"	"0.206"	"13.88"	"13.674"	"11.798"	"2021"	"3"	"22"	"10"	"18"	"20"	"sbe17plusV2"	"Cast00.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S12_Z05"	"SAMEA7925614"	"2"	"12"	"MMC-012"	"Z5"	"-41.69833333"	"-74.12833333"	"3/22/2021 10:18"	"80"	"9.506"	"34.05"	"1026.66"	"3.776"	"58.787"	"1.417"	"2.067"	"10.138"	"0.034"	"25.072"	"25.038"	"12.131"	"2021"	"3"	"22"	"10"	"18"	"20"	"sbe17plusV2"	"Cast00.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S13_Z00"	"SAMEA7925740"	"2"	"13"	"MMC-013"	"Z0"	"-41.48666667"	"-74.65166667"	"3/24/2021 10:35"	"3"	"14.758"	"33.25"	"1024.694"	"5.828"	"100.796"	"5.129"	"0.59"	"0.483"	"0.238"	"3.043"	"2.805"	"5.161"	"2021"	"3"	"24"	"10"	"35"	"28"	"sbe17plusV2"	"Cast05.cnv"	"SRF"	"OXIC"	"SUR"	"NO"
"S13_Z01"	"SAMEA7925750"	"2"	"13"	"MMC-013"	"Z1"	"-41.48666667"	"-74.65166667"	"3/24/2021 10:35"	"20"	"14.768"	"33.24"	"1024.762"	"5.816"	"100.61"	"4.955"	"0.629"	"0.593"	"0.251"	"3.337"	"3.086"	"5.308"	"2021"	"3"	"24"	"10"	"35"	"28"	"sbe17plusV2"	"Cast05.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S13_Z03"	"SAMEA7925751"	"2"	"13"	"MMC-013"	"Z3"	"-41.48666667"	"-74.65166667"	"3/24/2021 10:35"	"50"	"11.636"	"33.52"	"1025.74"	"4.904"	"79.687"	"4.686"	"1.635"	"5.735"	"0.168"	"20.3"	"20.132"	"12.416"	"2021"	"3"	"24"	"10"	"35"	"28"	"sbe17plusV2"	"Cast05.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
"S13_Z07"	"SAMEA7925758"	"2"	"13"	"MMC-013"	"Z7"	"-41.48666667"	"-74.65166667"	"3/24/2021 10:35"	"150"	"9.357"	"34.32"	"1027.216"	"1.868"	"29.046"	"1.336"	"2.501"	"15.61"	"0.041"	"29.25"	"29.21"	"11.695"	"2021"	"3"	"24"	"10"	"35"	"28"	"sbe17plusV2"	"Cast05.cnv"	"MES"	"HYPOXIC"	"SUR"	"NO"
"S13_Z09"	"SAMEA7925764"	"2"	"13"	"MMC-013"	"Z9"	"-41.48666667"	"-74.65166667"	"3/24/2021 10:35"	"450"	"6.112"	"34.27"	"1029.219"	"4.297"	"62.05"	"1.165"	"2.095"	"13.11"	"0.016"	"28.595"	"28.58"	"13.649"	"2021"	"3"	"24"	"10"	"35"	"28"	"sbe17plusV2"	"Cast05.cnv"	"MES"	"OXIC"	"SUR"	"NO"
"S14_Z01"	"SAMEA7925784"	"2"	"14"	"MMC-014"	"Z1"	"-39.93666667"	"-74.73266667"	"3/25/2021 10:15"	"20"	"16.226"	"33.53"	"1024.658"	"5.558"	"99.133"	"3.795"	"0.391"	"0.31"	"0.048"	"0.393"	"0.345"	"1.006"	"2021"	"3"	"25"	"10"	"15"	"46"	"sbe17plusV2"	"Cast011.cnv"	"EPI"	"OXIC"	"SUR"	"NO"
